Comunidades y Ciudades Autónomas;Dificultad para llegar a fin de mes;Periodo;Total
Total Nacional;Con mucha dificultad;2024;9,1
Total Nacional;Con mucha dificultad;2023;9,3
Total Nacional;Con mucha dificultad;2022;8,7
Total Nacional;Con mucha dificultad;2021;8,8
Total Nacional;Con mucha dificultad;2020;10
Total Nacional;Con mucha dificultad;2019;7,8
Total Nacional;Con mucha dificultad;2018;10,4
Total Nacional;Con mucha dificultad;2017;9,5
Total Nacional;Con mucha dificultad;2016;16,6
Total Nacional;Con mucha dificultad;2015;14,8
Total Nacional;Con mucha dificultad;2014;17,5
Total Nacional;Con mucha dificultad;2013;18,6
Total Nacional;Con mucha dificultad;2012;14,7
Total Nacional;Con mucha dificultad;2011;11,1
Total Nacional;Con mucha dificultad;2010;15,5
Total Nacional;Con mucha dificultad;2009;16,2
Total Nacional;Con mucha dificultad;2008;13,7
Total Nacional;Con mucha dificultad;2007;11,1
Total Nacional;Con mucha dificultad;2006;12,2
Total Nacional;Con mucha dificultad;2005;11,1
Total Nacional;Con mucha dificultad;2004;11,8
Total Nacional;Con dificultad;2024;12,7
Total Nacional;Con dificultad;2023;13,1
Total Nacional;Con dificultad;2022;13,4
Total Nacional;Con dificultad;2021;12,8
Total Nacional;Con dificultad;2020;12,8
Total Nacional;Con dificultad;2019;14,2
Total Nacional;Con dificultad;2018;16,7
Total Nacional;Con dificultad;2017;15,6
Total Nacional;Con dificultad;2016;19
Total Nacional;Con dificultad;2015;20,4
Total Nacional;Con dificultad;2014;21,6
Total Nacional;Con dificultad;2013;20,2
Total Nacional;Con dificultad;2012;20
Total Nacional;Con dificultad;2011;17,9
Total Nacional;Con dificultad;2010;18,3
Total Nacional;Con dificultad;2009;17,8
Total Nacional;Con dificultad;2008;18,2
Total Nacional;Con dificultad;2007;16,9
Total Nacional;Con dificultad;2006;18,8
Total Nacional;Con dificultad;2005;16,6
Total Nacional;Con dificultad;2004;18
Total Nacional;Con cierta dificultad;2024;25,6
Total Nacional;Con cierta dificultad;2023;26,1
Total Nacional;Con cierta dificultad;2022;25,7
Total Nacional;Con cierta dificultad;2021;23,3
Total Nacional;Con cierta dificultad;2020;22,3
Total Nacional;Con cierta dificultad;2019;27,3
Total Nacional;Con cierta dificultad;2018;28,1
Total Nacional;Con cierta dificultad;2017;28,2
Total Nacional;Con cierta dificultad;2016;27
