Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;2023;13,7
Total Nacional;;2022;13,9
Total Nacional;;2021;13,3
Total Nacional;;2020;16,0
Total Nacional;;2019;17,3
Total Nacional;;2018;17,9
Total Nacional;;2017;18,3
Total Nacional;;2016;19,0
Total Nacional;;2015;20,0
Total Nacional;;2014;21,9
Total Nacional;;2013;23,6
Total Nacional;;2012;24,7
Total Nacional;;2011;26,3
Total Nacional;;2010;28,2
Total Nacional;;2009;30,9
Total Nacional;;2008;31,7
Total Nacional;;2007;30,8
Total Nacional;;2006;30,3
Total Nacional;;2005;31,0
Total Nacional;;2004;32,2
Total Nacional;01 Andalucía;2023;16,9
Total Nacional;01 Andalucía;2022;15,5
Total Nacional;01 Andalucía;2021;17,7
Total Nacional;01 Andalucía;2020;21,8
Total Nacional;01 Andalucía;2019;21,6
Total Nacional;01 Andalucía;2018;21,9
Total Nacional;01 Andalucía;2017;23,5
Total Nacional;01 Andalucía;2016;23,1
Total Nacional;01 Andalucía;2015;24,9
Total Nacional;01 Andalucía;2014;27,7
Total Nacional;01 Andalucía;2013;28,7
Total Nacional;01 Andalucía;2012;28,8
Total Nacional;01 Andalucía;2011;32,1
Total Nacional;01 Andalucía;2010;34,6
Total Nacional;01 Andalucía;2009;37,2
Total Nacional;01 Andalucía;2008;37,9
Total Nacional;01 Andalucía;2007;37,1
Total Nacional;01 Andalucía;2006;38,0
Total Nacional;01 Andalucía;2005;38,0
Total Nacional;01 Andalucía;2004;39,4
Total Nacional;02 Aragón;2023;10,8
Total Nacional;02 Aragón;2022;12,5
Total Nacional;02 Aragón;2021;13,0
Total Nacional;02 Aragón;2020;14,2
Total Nacional;02 Aragón;2019;14,6
Total Nacional;02 Aragón;2018;15,8
Total Nacional;02 Aragón;2017;16,4
Total Nacional;02 Aragón;2016;19,1
Total Nacional;02 Aragón;2015;19,5
Total Nacional;02 Aragón;2014;18,4
Total Nacional;02 Aragón;2013;18,9
Total Nacional;02 Aragón;2012;20,4
Total Nacional;02 Aragón;2011;22,8
Total Nacional;02 Aragón;2010;23,8
Total Nacional;02 Aragón;2009;25,0
Total Nacional;02 Aragón;2008;25,8
Total Nacional;02 Aragón;2007;25,5
Total Nacional;02 Aragón;2006;24,6
Total Nacional;02 Aragón;2005;23,4
Total Nacional;02 Aragón;2004;23,8
Total Nacional;03 Asturias, Principado de;2023;10,5
Total Nacional;03 Asturias, Principado de;2022;11,9
Total Nacional;03 Asturias, Principado de;2021;12,2
Total Nacional;03 Asturias, Principado de;2020;8,9
Total Nacional;03 Asturias, Principado de;2019;12,4
Total Nacional;03 Asturias, Principado de;2018;12,6
Total Nacional;03 Asturias, Principado de;2017;14,8
Total Nacional;03 Asturias, Principado de;2016;16,6
Total Nacional;03 Asturias, Principado de;2015;16,8
Total Nacional;03 Asturias, Principado de;2014;13,6
Total Nacional;03 Asturias, Principado de;2013;19,1
Total Nacional;03 Asturias, Principado de;2012;19,8
Total Nacional;03 Asturias, Principado de;2011;21,9
Total Nacional;03 Asturias, Principado de;2010;22,2
Total Nacional;03 Asturias, Principado de;2009;21,3
Total Nacional;03 Asturias, Principado de;2008;20,0
Total Nacional;03 Asturias, Principado de;2007;23,1
Total Nacional;03 Asturias, Principado de;2006;23,1
Total Nacional;03 Asturias, Principado de;2005;20,5
Total Nacional;03 Asturias, Principado de;2004;26,9
Total Nacional;04 Balears, Illes;2023;18,0
Total Nacional;04 Balears, Illes;2022;17,3
Total Nacional;04 Balears, Illes;2021;15,4
Total Nacional;04 Balears, Illes;2020;21,3
Total Nacional;04 Balears, Illes;2019;24,2
Total Nacional;04 Balears, Illes;2018;24,4
Total Nacional;04 Balears, Illes;2017;26,5
Total Nacional;04 Balears, Illes;2016;26,8
Total Nacional;04 Balears, Illes;2015;26,7
Total Nacional;04 Balears, Illes;2014;32,1
Total Nacional;04 Balears, Illes;2013;29,8
Total Nacional;04 Balears, Illes;2012;28,9
Total Nacional;04 Balears, Illes;2011;29,7
Total Nacional;04 Balears, Illes;2010;36,5
Total Nacional;04 Balears, Illes;2009;40,3
Total Nacional;04 Balears, Illes;2008;42,5
Total Nacional;04 Balears, Illes;2007;42,1
Total Nacional;04 Balears, Illes;2006;36,0
Total Nacional;04 Balears, Illes;2005;39,7
Total Nacional;04 Balears, Illes;2004;42,2
Total Nacional;05 Canarias;2023;14,7
Total Nacional;05 Canarias;2022;12,3
Total Nacional;05 Canarias;2021;12,0
Total Nacional;05 Canarias;2020;18,2
Total Nacional;05 Canarias;2019;20,8
Total Nacional;05 Canarias;2018;20,9
Total Nacional;05 Canarias;2017;17,5
Total Nacional;05 Canarias;2016;18,9
Total Nacional;05 Canarias;2015;21,9
Total Nacional;05 Canarias;2014;23,8
Total Nacional;05 Canarias;2013;27,5
Total Nacional;05 Canarias;2012;28,0
Total Nacional;05 Canarias;2011;30,9
Total Nacional;05 Canarias;2010;29,8
Total Nacional;05 Canarias;2009;30,7
Total Nacional;05 Canarias;2008;34,1
Total Nacional;05 Canarias;2007;36,4
Total Nacional;05 Canarias;2006;34,9
Total Nacional;05 Canarias;2005;30,8
Total Nacional;05 Canarias;2004;33,3
Total Nacional;06 Cantabria;2023;7,3
Total Nacional;06 Cantabria;2022;9,0
Total Nacional;06 Cantabria;2021;6,3
Total Nacional;06 Cantabria;2020;9,1
Total Nacional;06 Cantabria;2019;12,8
Total Nacional;06 Cantabria;2018;9,8
Total Nacional;06 Cantabria;2017;8,9
Total Nacional;06 Cantabria;2016;8,6
Total Nacional;06 Cantabria;2015;10,3
Total Nacional;06 Cantabria;2014;9,7
Total Nacional;06 Cantabria;2013;12,1
Total Nacional;06 Cantabria;2012;14,2
Total Nacional;06 Cantabria;2011;21,4
Total Nacional;06 Cantabria;2010;23,9
Total Nacional;06 Cantabria;2009;24,2
Total Nacional;06 Cantabria;2008;22,9
Total Nacional;06 Cantabria;2007;25,5
Total Nacional;06 Cantabria;2006;23,5
Total Nacional;06 Cantabria;2005;21,9
Total Nacional;06 Cantabria;2004;26,7
Total Nacional;07 Castilla y León;2023;10,3
Total Nacional;07 Castilla y León;2022;10,7
Total Nacional;07 Castilla y León;2021;12,7
Total Nacional;07 Castilla y León;2020;15,4
Total Nacional;07 Castilla y León;2019;14,3
Total Nacional;07 Castilla y León;2018;13,9
Total Nacional;07 Castilla y León;2017;16,7
Total Nacional;07 Castilla y León;2016;17,3
Total Nacional;07 Castilla y León;2015;16,7
Total Nacional;07 Castilla y León;2014;16,8
Total Nacional;07 Castilla y León;2013;19,2
Total Nacional;07 Castilla y León;2012;21,7
Total Nacional;07 Castilla y León;2011;27,5
Total Nacional;07 Castilla y León;2010;23,4
Total Nacional;07 Castilla y León;2009;26,9
Total Nacional;07 Castilla y León;2008;26,4
