Sexo;Edad;Dificultad para llegar a fin de mes;Periodo;Total
Ambos sexos;Total;Con mucha dificultad;2024;9,1
Ambos sexos;Total;Con mucha dificultad;2023;9,3
Ambos sexos;Total;Con mucha dificultad;2022;8,7
Ambos sexos;Total;Con mucha dificultad;2021;8,8
Ambos sexos;Total;Con mucha dificultad;2020;10
Ambos sexos;Total;Con mucha dificultad;2019;7,8
Ambos sexos;Total;Con mucha dificultad;2018;10,4
Ambos sexos;Total;Con mucha dificultad;2017;9,5
Ambos sexos;Total;Con mucha dificultad;2016;16,6
Ambos sexos;Total;Con mucha dificultad;2015;14,8
Ambos sexos;Total;Con mucha dificultad;2014;17,5
Ambos sexos;Total;Con mucha dificultad;2013;18,6
Ambos sexos;Total;Con mucha dificultad;2012;14,7
Ambos sexos;Total;Con mucha dificultad;2011;11,1
Ambos sexos;Total;Con mucha dificultad;2010;15,5
Ambos sexos;Total;Con mucha dificultad;2009;16,2
Ambos sexos;Total;Con mucha dificultad;2008;13,7
Ambos sexos;Total;Con mucha dificultad;2007;11,1
Ambos sexos;Total;Con mucha dificultad;2006;12,2
Ambos sexos;Total;Con mucha dificultad;2005;11,1
Ambos sexos;Total;Con mucha dificultad;2004;11,8
Ambos sexos;Total;Con dificultad;2024;12,7
Ambos sexos;Total;Con dificultad;2023;13,1
Ambos sexos;Total;Con dificultad;2022;13,4
Ambos sexos;Total;Con dificultad;2021;12,8
Ambos sexos;Total;Con dificultad;2020;12,8
Ambos sexos;Total;Con dificultad;2019;14,2
Ambos sexos;Total;Con dificultad;2018;16,7
Ambos sexos;Total;Con dificultad;2017;15,6
Ambos sexos;Total;Con dificultad;2016;19
Ambos sexos;Total;Con dificultad;2015;20,4
Ambos sexos;Total;Con dificultad;2014;21,6
Ambos sexos;Total;Con dificultad;2013;20,2
Ambos sexos;Total;Con dificultad;2012;20
Ambos sexos;Total;Con dificultad;2011;17,9
Ambos sexos;Total;Con dificultad;2010;18,3
Ambos sexos;Total;Con dificultad;2009;17,8
Ambos sexos;Total;Con dificultad;2008;18,2
Ambos sexos;Total;Con dificultad;2007;16,9
Ambos sexos;Total;Con dificultad;2006;18,8
Ambos sexos;Total;Con dificultad;2005;16,6
Ambos sexos;Total;Con dificultad;2004;18
